id,rating,theme,title,description,fen,moves
19,600,MateIn1,Verified Mate in One #19,Black makes a legal move; White must find the mating move.,8/4QK1k/8/8/8/5p2/8/8 b - - 0 1,f3f2 e7h4
20,600,MateIn1,Verified Mate in One #20,Black makes a legal move; White must find the mating move.,8/4QK1k/8/8/8/5p2/8/8 b - - 0 1,h7h6 e7h4
21,600,MateIn1,Mate in One #21,Black makes a legal move; White must find the mating move.,7k/p7/6K1/8/8/8/8/4R3 b - - 0 1,a7a6 e1e8
22,620,MateIn1,Mate in One #22,Black makes a legal move; White must find the mating move.,7k/p7/6K1/8/8/8/8/4R3 b - - 0 1,a7a5 e1e8
23,640,MateIn1,Mate in One #23,Black makes a legal move then White mates in one.,7k/1p6/6K1/8/8/8/4R3 b - - 0 1,b7b6 e1e8
24,660,MateIn1,Mate in One #24,Black makes a legal move then White mates in one.,7k/1p6/6K1/8/8/8/8/4R3 b - - 0 1,b7b5 e1e8
25,680,MateIn1,Mate in One #25,Black makes a legal move then White mates in one.,7k/2p5/6K1/8/8/8/8/4R3 b - - 0 1,c7c6 e1e8
26,700,MateIn1,Mate in One #26,Black makes a legal move then White mates in one.,7k/2p5/6K1/8/8/8/8/4R3 b - - 0 1,c7c5 e1e8
27,720,MateIn1,Mate in One #27,Black makes a legal move then White mates in one.,7k/3p4/6K1/8/8/8/8/4R3 b - - 0 1,d7d6 e1e8
28,740,MateIn1,Mate in One #28,Black makes a legal move then White mates in one.,7k/3p4/6K1/8/8/8/8/4R3 b - - 0 1,d7d5 e1e8
29,760,MateIn1,Mate in One #29,Black makes a legal move then White mates in one.,7k/8/p5K1/8/8/8/8/4R3 b - - 0 1,a6a5 e1e8
30,780,MateIn1,Mate in One #30,Black makes a legal move then White mates in one.,7k/8/1p4K1/8/8/8/8/4R3 b - - 0 1,b6b5 e1e8
31,800,MateIn1,Mate in One #31,Black makes a legal move then White mates in one.,7k/8/2p3K1/8/8/8/8/4R3 b - - 0 1,c6c5 e1e8
32,820,MateIn1,Mate in One #32,Black makes a legal move then White mates in one.,7k/8/3p2K1/8/8/8/8/4R3 b - - 0 1,d6d5 e1e8
33,840,MateIn1,Mate in One #33,Black makes a legal move then White mates in one.,7k/8/6K1/p7/8/8/8/4R3 b - - 0 1,a5a4 e1e8
34,860,MateIn1,Mate in One #34,Black makes a legal move then White mates in one.,7k/8/6K1/1p6/8/8/8/4R3 b - - 0 1,b5b4 e1e8
35,880,MateIn1,Mate in One #35,Black makes a legal move then White mates in one.,7k/8/6K1/2p5/8/8/8/4R3 b - - 0 1,c5c4 e1e8
36,900,MateIn1,Mate in One #36,Black makes a legal move then White mates in one.,7k/8/6K1/3p4/8/8/8/4R3 b - - 0 1,d5d4 e1e8
37,920,MateIn1,Mate in One #37,Black makes a legal move then White mates in one.,7k/8/6K1/8/p7/8/8/4R3 b - - 0 1,a4a3 e1e8
38,940,MateIn1,Mate in One #38,Black makes a legal move then White mates in one.,7k/8/6K1/8/1p6/8/8/4R3 b - - 0 1,b4b3 e1e8
39,960,MateIn1,Mate in One #39,Black makes a legal move then White mates in one.,7k/8/6K1/8/2p5/8/8/4R3 b - - 0 1,c4c3 e1e8
40,980,MateIn1,Mate in One #40,Black makes a legal move then White mates in one.,7k/8/6K1/8/3p4/8/8/4R3 b - - 0 1,d4d3 e1e8
